Subject Name,Semester,Department
SS,ONE,CS
CO,THREE,CS
IP,ONE,CS
TCM,THREE,CS
ACM1,ONE,CS
DC,THREE,CS
SEPM,FIVE,CS
Sys,FIVE,CS
TC6,SEVEN,CS
BEE,ONE,CS
ESD,THREE,CS
TC7,SEVEN,CS
CT,ONE,CS
TC8,SEVEN,CS
DSP,FIVE,CS
DAA,THREE,CS
TC1,FIVE,CS
OEL3,SEVEN,CS
TC2,FIVE,CS
OEL4,SEVEN,CS
ACM2,TWO,CS
SoftS,FOUR,CS
DLD,TWO,CS
CN,FOUR,CS
DNN,SIX,CS
DS,TWO,CS
IIS,FOUR,CS
BDA,SIX,CS
DTFW,TWO,CS
DBS,FOUR,CS
KDD,SIX,CS
HP,TWO,CS
EVS,FOUR,CS
MM,SIX,CS
ICM,TWO,CS
DP1,FOUR,CS
FM,SIX,CS
BEE Tut,ONE,CS
ESD Tut,THREE,CS
DSP Tut,FIVE,CS
SS Lab,ONE,CS
DAA Lab,THREE,CS
TC1 Lab,FIVE,CS
